24664958,875938628,591968,368864
24664959,875938652,610112,383424
24664960,875938673,602624,378880
24664961,875938679,604000,378976
24664962,875938685,602432,378176
24664963,875938695,607616,381728
24664964,875938702,581984,344576
24664965,875938705,510400,266688
24664966,875938721,502400,268128
24664967,875938739,236544,131904
24664968,875938759,226560,128576
24664969,875938773,226688,128704
24664970,875938793,231360,130592
24664971,875938802,239232,133952
24664972,875938813,236064,132512
24664973,875938825,227616,129344
24664974,875938844,237472,133216
24664975,875938847,225888,128000
24664976,875938851,232160,131520
24664977,875938857,233280,131008
24664978,875938861,235968,126592
24664979,875938872,376768,116192
24664980,875938886,371584,84128
24664981,875938894,379232,95456
24664982,875938900,373536,105184
24664983,875938901,371840,95936
24664984,875938904,366208,95424
24664985,875938907,377504,111168
24664986,875938927,377056,111456
24664987,875938950,353504,101920
24664988,875938967,378208,81920
24664989,875938991,339072,72640
24664990,875938995,280480,0
24664991,875939012,293856,0
24664992,875939031,295488,0
24664993,875939054,297024,0
24664994,875939062,289312,31936
24664995,875939075,278048,44416
24664996,875939097,256576,40608
24664997,875939108,292672,41792
24664998,875939131,291072,41760
24664999,875939131,293312,41856
24665000,875939133,285632,41504
24665001,875939136,295488,42368
24665002,875939156,280672,41888
24665003,875939173,291264,41824
24665004,875939186,288640,42144
24665005,875939200,291264,42304
24665006,875939204,278560,42016
24665007,875939220,284416,41856
24665008,875939222,277376,41792
24665009,875939238,291360,42656
24665010,875939248,278368,41920
24665011,875939252,275392,41024
24665012,875939265,280928,41792
24665013,875939277,263008,40960
24665014,875939303,251776,40672
24665015,875939303,349536,51712
24665016,875939306,390176,59872
24665017,875939309,400960,59936
24665018,875939312,451360,76416
24665019,875939315,480864,89024
24665020,875939315,475360,87584
24665021,875939321,473472,87648
24665022,875939321,473312,87168
24665023,875939321,507072,110336
24665024,875939344,611808,187520
24665025,875939354,575616,154816
24665026,875939377,559584,147872
