1653526754.7803495,15,3,18
1653526755.826987,15,3,18
1653526756.860566,11,4,15
1653526757.9353237,6,6,12
1653526758.9865432,12,4,16
1653526760.0988514,7,6,13
1653526761.1387248,11,4,15
1653526762.1501157,10,4,14
1653526763.2305999,6,6,12
1653526764.295264,6,6,12
1653526765.3827221,7,6,13
1653526766.421708,11,4,15
1653526767.4396806,8,5,13
1653526768.4874463,12,4,16
1653526769.513753,11,4,15
1653526770.53548,11,4,15
1653526771.5921874,10,4,14
1653526772.6029747,9,4,13
1653526773.7243032,7,6,13
1653526774.8371923,7,6,13
1653526775.871073,15,2,17
1653526776.8718457,9,4,13
1653526777.9417534,9,5,14
1653526779.0369272,12,4,16
1653526780.0628111,11,4,15
1653526781.090948,9,4,13
1653526782.0951457,15,2,17
1653526783.1262019,11,3,14
1653526784.207245,6,6,12
1653526785.2886243,9,5,14
1653526786.360184,11,4,15
1653526787.4822814,11,4,15
1653526788.6020663,8,5,13
1653526789.7072544,11,4,15
1653526790.7372344,10,4,14
1653526791.7401323,12,3,15
1653526792.7531538,14,3,17
1653526793.763691,12,3,15
1653526794.8416784,9,4,13
1653526795.9593892,10,5,15
1653526797.0559256,13,4,17
1653526798.1275408,11,4,15
1653526799.2475307,4,7,11
1653526800.2925148,11,4,15
1653526801.3268797,9,4,13
1653526802.3291342,12,3,15
1653526803.4190893,10,4,14
1653526804.4305377,14,2,16
1653526805.481762,10,4,14
1653526806.4908268,7,5,12
1653526807.5863483,12,3,15
1653526808.5990882,9,4,13
1653526809.606814,11,3,14
1653526810.643279,10,4,14
1653526811.783567,10,4,14
1653526812.889427,14,3,17
1653526813.9564466,10,5,15
1653526815.1254315,10,5,15
1653526816.1317928,8,4,12
1653526817.213686,7,5,12
1653526818.3356025,12,4,16
1653526819.4746814,9,5,14
1653526820.500008,11,4,15
1653526821.5364587,9,4,13
1653526822.5957956,11,4,15
1653526823.6300318,13,3,16
1653526824.6467953,10,4,14
1653526825.7663002,15,3,18
1653526826.8371646,8,5,13
