18102653,0.250732
18102654,0.253662
18102655,0.251221
18102656,0.258301
18102657,-2.000000
18102657,0.260132
18102658,-2.000000
18102658,-2.000000
18102658,0.499756
18102659,-2.000000
18102659,-2.000000
18102659,0.489746
18102660,-2.000000
18102661,-2.000000
18102661,0.489014
18102661,-2.000000
18102662,0.350952
18102663,0.246582
18102664,0.255371
18102665,0.249390
18102667,0.251099
18102668,0.260498
18102669,0.260132
18102670,0.253296
18102671,0.251587
18102672,0.247437
18102674,0.257568
18102675,0.247559
18102676,0.260254
18102677,0.251953
18102678,0.255859
18102680,0.253906
18102681,0.260010
18102682,0.259155
