10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
0.005900144577026367,0.005738019943237305,0.005805015563964844,0.005875110626220703,0.005815982818603516,0.005842924118041992,0.005867958068847656,0.005919933319091797,0.0058879852294921875,0.005869865417480469,0.0059740543365478516,0.006021022796630859,0.005798816680908203,0.005922079086303711,0.005837917327880859,0.005992889404296875,0.006019115447998047,0.0062351226806640625,0.005889892578125,0.006014108657836914,0.006026029586791992,0.005972146987915039,0.006232023239135742,0.006195068359375,0.005995035171508789,0.005977153778076172,0.0059108734130859375,0.005894899368286133,0.006028175354003906,0.005877017974853516,0.005914926528930664,0.00609588623046875,0.006042957305908203,0.005918979644775391,0.005950927734375,0.0058748722076416016,0.0059740543365478516,0.005866050720214844,0.005972862243652344,0.0059070587158203125,0.006030082702636719,0.005970954895019531,0.005967855453491211,0.0059549808502197266,0.0061969757080078125,0.006036043167114258,0.005964040756225586,0.005950212478637695,0.00598597526550293,0.005963802337646484,0.006003856658935547,0.006124973297119141,0.0060808658599853516,0.006003141403198242,0.006108999252319336,0.006043195724487305,0.006062984466552734,0.006134986877441406,0.006098031997680664,0.005982160568237305,0.0060040950775146484,0.006092071533203125,0.006139993667602539,0.0060100555419921875
0,0,0,1,2,2,2,4,4,4,5,6,6,6,8,8,8,9,10,10,10,12,12,12,13,14,14,14,16,16,16,17,18,18,18,20,20,20,21,22,22,22,24,24,24,25,26,26,26,28,28,28,29,30,30,30,32,32,32,33,34,34,34,36
0.0,0.1,0.2,0.3,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache
