10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
0.005795955657958984,0.005742073059082031,0.005851030349731445,0.005921840667724609,0.0059549808502197266,0.005842924118041992,0.0057468414306640625,0.006021022796630859,0.005758047103881836,0.005830049514770508,0.005743980407714844,0.0057621002197265625,0.005753040313720703,0.005972146987915039,0.0059299468994140625,0.005776882171630859,0.0062389373779296875,0.005992889404296875,0.005861997604370117,0.005975008010864258,0.005857944488525391,0.006045103073120117,0.005911111831665039,0.005772113800048828,0.005733013153076172,0.0059070587158203125,0.005836963653564453,0.005872011184692383,0.005838871002197266,0.00586700439453125,0.006072998046875,0.005911827087402344
0,0,0,1,2,2,2,4,4,4,5,6,6,6,8,8,8,9,10,10,10,12,12,12,13,14,14,14,16,16,16,17
0.0,0.1,0.2,0.3,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache
