24320363,916826721,647328,0
24320364,916826724,648448,0
24320365,916826747,656000,0
24320366,916826769,647360,0
24320367,916826773,648000,0
24320368,916826779,639648,0
24320369,916826786,654624,0
24320370,916826808,644064,0
24320371,916826816,653568,0
24320372,916826827,535712,0
24320373,916826852,438112,0
24320374,916826852,442976,0
24320375,916826864,439072,0
24320376,916826866,432352,0
24320377,916826867,436096,0
24320378,916826883,438336,0
24320379,916826899,439808,0
24320380,916826903,443520,0
24320381,916826930,398848,0
24320382,916826955,343392,0
24320383,916826966,412064,0
24320384,916826975,371040,0
24320385,916827000,349696,0
24320386,916827008,358720,0
24320387,916827031,394880,0
24320388,916827056,362432,0
24320389,916827070,346880,0
24320390,916827074,313024,0
24320391,916827091,315360,0
24320392,916827093,290752,0
24320393,916827122,306976,0
24320394,916827123,302240,0
24320395,916827130,312512,0
24320396,916827142,292992,0
24320397,916827165,292992,0
24320398,916827166,300160,0
24320399,916827178,292000,0
24320400,916827201,284672,0
24320401,916827210,358336,0
24320402,916827237,403232,0
24320403,916827259,402112,0
24320404,916827267,410048,0
24320405,916827268,486496,0
24320406,916827293,449696,0
24320407,916827301,452064,0
24320408,916827320,437760,0
24320409,916827335,585440,0
24320410,916827352,637056,0
24320411,916827362,637920,0
