10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
0.005948066711425781,0.0060100555419921875,0.006007194519042969,0.006003856658935547,0.005921840667724609,0.0059850215911865234,0.005990028381347656,0.005957841873168945,0.0059549808502197266,0.005997180938720703,0.006033182144165039,0.005991935729980469,0.006092071533203125,0.005973100662231445,0.005925893783569336,0.0061190128326416016,0.00605010986328125,0.0059490203857421875,0.006123065948486328,0.006014823913574219,0.006128072738647461,0.005948066711425781,0.005981922149658203,0.005970001220703125,0.005971193313598633,0.006129026412963867,0.006192922592163086,0.0062639713287353516,0.006090879440307617,0.006181955337524414,0.006139993667602539,0.006072998046875,0.006158113479614258,0.006028175354003906,0.0059909820556640625,0.006126880645751953,0.006081104278564453,0.0063838958740234375,0.0061130523681640625,0.006136894226074219,0.006100893020629883,0.006165981292724609,0.006134033203125,0.006325960159301758,0.006127119064331055,0.006052970886230469,0.006070852279663086,0.006094932556152344,0.006092071533203125,0.00602412223815918,0.006163835525512695,0.0062639713287353516,0.006088972091674805,0.006189107894897461,0.006132841110229492,0.006184816360473633,0.00625300407409668,0.006147146224975586,0.006115913391113281,0.006147861480712891,0.006120920181274414,0.006201028823852539,0.006225109100341797,0.0062711238861083984,0.0061168670654296875,0.0063800811767578125,0.006120920181274414,0.00625300407409668,0.006206035614013672,0.006227970123291016,0.006258964538574219,0.006364107131958008,0.006339073181152344,0.006227016448974609,0.00630497932434082,0.006233930587768555,0.006198883056640625,0.0061779022216796875,0.0062029361724853516,0.00630497932434082,0.00642704963684082,0.0062258243560791016,0.006309032440185547,0.00628209114074707,0.0062448978424072266,0.006434917449951172,0.0064239501953125,0.006222963333129883,0.0063130855560302734,0.00629115104675293,0.006272077560424805,0.006495952606201172,0.006333112716674805,0.006411075592041016,0.006412029266357422,0.006403923034667969,0.006323099136352539,0.0062711238861083984,0.0064198970794677734,0.006318807601928711,0.0063648223876953125,0.0064830780029296875,0.006392002105712891,0.006288051605224609,0.006332874298095703,0.006342887878417969,0.006353855133056641,0.006409883499145508,0.006335020065307617,0.006426811218261719,0.0063018798828125,0.006403923034667969,0.006387948989868164,0.006428956985473633,0.006278038024902344,0.006433010101318359,0.0065920352935791016,0.006554841995239258,0.006465911865234375,0.0064640045166015625,0.006506204605102539,0.006354808807373047,0.006347179412841797,0.0066280364990234375,0.0063250064849853516,0.006455898284912109,0.006525993347167969,0.00643610954284668,0.006319999694824219,0.006409883499145508,0.006460905075073242,0.006505012512207031,0.0065310001373291016,0.00654911994934082,0.0066280364990234375,0.0067138671875,0.006517887115478516,0.006537914276123047,0.006587028503417969,0.0064928531646728516,0.00651097297668457,0.006454944610595703,0.006503105163574219,0.006555080413818359,0.006628990173339844,0.006526947021484375,0.006454944610595703,0.006496906280517578,0.00652003288269043,0.006518125534057617,0.006601095199584961,0.006529092788696289,0.006515979766845703,0.006658792495727539,0.006732940673828125,0.006512165069580078,0.006487131118774414,0.006639957427978516,0.0068111419677734375,0.006630897521972656,0.006706953048706055,0.006549835205078125,0.0065228939056396484,0.006635189056396484,0.00649714469909668,0.006505012512207031,0.006593942642211914,0.00654292106628418,0.006741046905517578,0.006559133529663086,0.0067272186279296875,0.006721973419189453,0.006598949432373047,0.0066721439361572266,0.0068471431732177734,0.006659030914306641,0.0065460205078125,0.00660395622253418,0.006491899490356445,0.006852149963378906,0.006719112396240234,0.006597042083740234,0.006620168685913086,0.006913185119628906,0.006720066070556641,0.0065920352935791016,0.006621122360229492,0.006746053695678711,0.00671696662902832,0.006803035736083984,0.006678104400634766,0.006616115570068359,0.006623983383178711,0.006808042526245117,0.006705045700073242,0.006612062454223633,0.0067980289459228516,0.0069370269775390625,0.0067560672760009766,0.006737947463989258,0.006871938705444336,0.006688117980957031,0.006757020950317383,0.0067899227142333984,0.0065860748291015625,0.006665945053100586,0.006733894348144531,0.006723880767822266,0.0068738460540771484,0.00687098503112793,0.006613969802856445,0.006812095642089844,0.006897926330566406,0.006844043731689453,0.0067670345306396484,0.007030010223388672,0.006824016571044922,0.006779909133911133,0.006754875183105469,0.00669097900390625,0.006777048110961914,0.006815910339355469,0.006783962249755859,0.0067899227142333984,0.006781816482543945,0.006675004959106445,0.0067861080169677734,0.006749868392944336,0.0067141056060791016,0.006900787353515625,0.007007122039794922,0.006781816482543945,0.006882905960083008,0.006789207458496094,0.006845951080322266,0.0067789554595947266,0.006829023361206055,0.006915092468261719,0.006672859191894531,0.007069110870361328,0.0068781375885009766,0.006799936294555664,0.006999969482421875,0.0069370269775390625,0.006972074508666992,0.006819009780883789,0.006805896759033203,0.006802797317504883,0.007010936737060547,0.007027864456176758,0.006827831268310547,0.006968021392822266,0.006797075271606445,0.006883144378662109,0.0067670345306396484,0.006834983825683594
0,0,0,1,2,2,2,4,4,4,5,6,6,6,8,8,8,9,10,10,10,12,12,12,13,14,14,14,16,16,16,17,18,18,18,20,20,20,21,22,22,22,24,24,24,25,26,26,26,28,28,28,29,30,30,30,32,32,32,33,34,34,34,36,36,36,37,38,38,38,2,2,2,22,42,42,42,2,2,2,24,46,46,46,2,2,2,26,50,50,50,2,2,2,2,2,2,2,56,56,56,29,2,2,2,2,2,2,2,2,2,2,64,64,64,33,2,2,2,2,2,2,2,2,2,2,72,72,72,37,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,84,84,84,43,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,52,102,102,102,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,128,128,128,65,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0.0,0.1,0.2,0.3,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache,cache
