EOF
NOP
RETURN
DROP
LOOP_INIT
DO
WHILE
CJUMP
CJUMPI
UJUMP
SET_PORT
RTS
MBR_EQUALS_MBR2
MIN
HASH_GENERIC
MBR_ADD
ACC2_LOAD
GOTO_AUX
MBR2_LOAD
COUNTER_RMW
MBR_LOAD
ACC_LOAD
BIT_AND_MAR
C_ENABLE_EXEC
MEM_RST
REVMIN
CMEM_WRITE
MBR_EQUALS_ARG
ENABLE_EXEC
MARK_PACKET
MBR2_ADD
MEM_WRITE
MBR_SUBTRACT
COPY_MBR2_MBR
COPY_MBR_MBR2
MAR_ADD
MEM_READ
BIT_AND_MBR
CMEM_READ
CRET
DUPLICATE
MAR_EQUALS
LOAD_5TUPLE
MBR2_EQUALS
MAR_LOAD
HASH5TUPLE
MARK_IF
HASHMBR
