149320,1,1
149322,301,301
149323,336,336
149324,263,263
149325,301,301
149326,376,376
149327,393,393
149328,396,396
149329,347,347
149330,419,419
149332,350,350
149333,454,454
149334,472,472
149335,484,484
149336,456,456
149337,416,416
149338,406,406
149339,418,418
149340,439,439
149341,404,404
149342,404,404
149343,437,437
149344,404,404
149345,404,404
149346,402,402
149347,426,426
149348,405,405
149349,378,378
149350,392,392
149351,435,435
149352,427,427
149353,393,393
149354,442,442
149355,415,415
149356,418,418
149357,406,406
149358,430,430
149359,413,413
149360,420,420
149361,409,409
149362,409,409
149363,402,402
149364,443,443
149365,386,386
149366,405,405
149367,435,435
149368,417,417
149369,413,413
149370,405,405
149371,430,430
149372,437,437
149373,429,429
149374,417,417
149375,419,419
149376,418,418
149377,385,385
149378,422,422
149379,448,448
149380,362,362
149381,242,242
149383,244,244
149384,167,167
149385,255,255
149386,185,185
149387,274,274
149388,199,199
149389,267,267
149391,180,180
149392,267,267
149393,258,258
149394,261,261
149395,285,285
149396,288,288
149397,295,295
149398,299,299
149399,301,301
149400,305,305
149401,307,307
149402,327,327
149403,416,416
149404,483,483
149405,451,451
149407,431,431
149408,462,462
149409,440,440
149410,450,450
149411,451,451
149412,439,439
149413,567,567
149414,505,505
149415,571,572
149416,515,515
149417,466,466
149418,441,441
149419,428,428
149420,417,417
149421,409,409
149422,437,437
149423,416,416
149424,390,390
149425,418,418
149426,412,412
149427,413,413
149428,420,420
149429,417,417
149430,432,432
149431,424,425
149432,412,412
149433,397,397
149434,436,436
149435,436,436
149436,405,405
149437,402,402
149438,427,427
149439,421,421
149440,393,393
149441,439,439
149442,426,426
149443,428,428
149444,412,412
149445,424,424
149446,440,440
149447,440,440
149448,396,396
149449,396,396
149450,390,390
149451,421,421
149452,424,424
149453,404,404
149454,415,415
149455,413,413
149456,414,414
149457,409,409
149458,413,413
149459,411,411
149460,424,424
149461,398,398
149462,422,422
149463,420,420
149464,396,396
149465,412,412
149467,408,408
149468,429,429
149469,425,425
149470,425,425
149471,422,422
149472,429,429
149473,412,412
149474,401,401
149475,438,438
149476,420,420
149477,417,417
149478,431,431
149479,401,401
149480,420,420
149481,390,390
149482,397,397
149483,434,434
149484,433,433
149485,430,430
149486,422,422
149487,403,403
149488,407,407
149489,405,405
149490,409,409
149491,424,424
149492,445,445
149493,404,404
149494,430,430
149495,449,449
149496,435,435
149497,424,424
149498,424,424
149499,419,419
149500,437,437
149501,403,403
149502,426,426
149503,393,393
149504,433,433
149505,410,410
149506,407,407
149507,440,440
149508,420,420
149509,427,427
149510,412,412
149511,399,399
149512,424,424
149513,407,407
149514,411,411
149515,400,400
149516,407,407
149517,419,419
149518,436,436
149519,402,402
149520,429,429
149521,436,436
149522,440,440
149523,423,423
149524,416,416
149525,417,417
149526,411,411
149527,423,423
149528,433,433
149529,418,418
149530,431,431
149531,411,412
149532,382,382
149533,426,426
149534,408,408
149535,443,443
149536,413,413
149537,437,437
149538,430,430
149539,420,420
149540,403,403
149541,384,384
149542,433,433
149543,417,417
149544,418,418
149545,415,415
149546,429,429
149547,402,402
149548,414,414
149549,405,405
149550,428,428
149551,434,434
149552,445,445
149553,435,435
149554,408,408
149555,427,427
149556,407,407
149557,426,426
149558,397,397
149559,424,424
149560,430,430
149561,413,413
149562,396,396
149563,415,415
149564,417,417
149565,398,398
149566,420,420
149567,404,404
149568,399,399
149569,409,409
149570,411,411
149571,419,419
149572,406,406
149573,403,403
149574,416,416
149575,413,413
149576,386,386
149577,429,429
149578,406,406
149579,429,429
149580,393,393
149581,410,410
149582,426,426
149583,436,436
149584,381,381
149585,417,417
149586,422,422
149587,426,426
149588,403,403
149589,421,421
149590,422,422
149591,399,399
