0,3,7
0,3,7
1,4,8
2,5,9
6,10,14
11,15,19
1,4,8
6,10,14
0,3,7
1,4,8
2,5,9
0,3,7
0,3,7
1,4,8
2,5,9
6,10,14
11,15,19
1,4,8
12,13,16
0,3,17
1,4,18
2,5,9
6,10,14
11,15,19
12,13,16
7,11,15
8,12,16
0,13,17
7,11,15
1,4,18
2,5,19
3,6,10
1,4,8
7,11,15
8,12,16
9,13,17
0,14,18
1,4,19
2,5,9
2,5,9
0,3,17
8,12,16
0,13,17
3,6,10
7,11,15
8,12,16
13,14,17
0,3,18
1,4,19
2,5,9
6,10,14
7,11,15
8,12,16
9,13,17
0,5,18
2,8,12
2,9,16
5,8,12
9,13,17
0,14,18
0,3,16
1,4,18
2,5,19
3,6,10
7,11,15
8,12,16
9,13,17
3,13,17
0,3,7
6,9,13
10,14,18
3,6,17
9,12,16
10,13,17
11,15,19
0,3,7
2,5,9
1,4,8
2,6,12
1,4,18
9,13,18
0,14,19
5,8,12
8,12,16
1,4,8
2,5,9
6,10,14
11,15,19
12,13,16
8,12,16
0,3,17
7,11,15
1,4,18
7,12,16
0,3,13
8,13,17
0,14,19
1,4,8
2,5,9
3,6,10
7,11,15
12,13,16
1,4,18
0,14,18
1,4,17
2,5,19
0,3,17
3,6,10
7,11,15
9,13,18
0,13,18
1,4,8
1,9,19
2,5,9
3,8,12
1,4,19
2,5,11
4,8,13
0,14,18
1,15,19
2,5,16
3,6,17
4,7,11
2,5,9
8,12,16
9,13,17
10,14,18
0,15,19
1,4,8
2,5,16
6,10,18
7,12,16
13,14,18
9,12,16
0,3,7
10,14,18
1,4,9
2,5,10
5,8,12
6,11,15
12,13,16
0,14,18
10,14,18
1,4,17
2,5,19
3,6,10
0,3,7
7,11,15
8,12,16
9,13,17
0,14,18
1,4,19
8,13,17
1,4,17
1,4,19
2,5,9
2,6,16
3,7,11
8,12,16
0,14,18
9,10,14
6,9,13
10,14,18
12,15,19
0,3,16
6,10,17
1,4,8
2,5,9
3,6,10
7,11,15
12,13,16
0,14,18
1,4,17
2,5,19
10,14,18
3,6,10
7,11,15
4,14,18
7,10,14
8,11,16
1,4,17
9,12,17
0,13,18
1,4,19
0,14,18
2,5,9
3,6,10
7,11,15
1,8,19
12,15,19
1,4,13
0,14,18
13,16,19
1,4,17
1,4,17
2,5,9
3,6,10
7,11,15
8,11,19
12,15,19
7,11,15
0,14,18
1,4,16
2,5,17
0,6,18
3,6,18
5,11,18
0,3,7
5,8,12
7,10,14
3,6,10
9,13,17
0,11,15
2,5,18
3,6,10
7,11,15
0,14,18
3,7,17
4,8,12
7,11,16
9,12,16
7,10,14
13,14,17
0,15,19
1,4,18
2,5,19
2,5,9
3,6,10
12,15,19
7,11,15
8,12,16
2,5,19
13,14,17
0,3,18
1,4,19
2,5,9
6,10,14
7,10,14
7,11,15
8,12,16
0,13,17
1,4,18
2,5,19
3,6,10
6,9,13
7,11,15
2,9,14
0,5,9
0,14,18
8,12,19
2,5,15
8,11,16
9,12,17
4,13,18
7,11,15
5,8,12
6,9,13
7,11,16
8,11,17
9,13,17
10,14,18
0,15,19
1,4,16
2,5,9
3,6,10
7,11,15
7,11,15
8,12,16
13,14,17
0,3,18
1,4,19
1,13,17
2,12,15
4,7,11
8,12,16
13,16,19
6,12,16
8,13,17
6,10,14
0,15,19
1,4,8
0,14,19
2,5,9
3,6,10
7,11,15
12,13,16
0,14,18
3,6,10
1,4,17
2,5,15
2,5,19
3,6,10
7,11,15
5,8,12
8,12,16
9,13,17
8,12,16
13,14,17
0,13,17
4,13,18
7,11,15
9,13,17
0,14,18
2,5,9
1,4,19
2,5,9
8,15,19
0,3,7
1,4,8
2,5,9
6,10,14
11,15,19
6,12,16
1,4,17
3,6,10
12,13,16
0,3,17
1,4,18
2,5,9
6,10,14
7,11,15
8,12,16
0,13,17
1,4,18
2,5,19
3,6,10
7,11,15
8,12,16
9,12,16
9,13,17
0,14,18
1,4,19
12,13,16
1,4,16
11,15,19
1,4,17
2,5,9
3,6,10
4,7,11
1,12,16
4,7,16
8,11,15
0,14,18
0,3,17
1,4,18
1,4,18
3,6,18
3,6,10
1,4,18
9,12,16
13,14,17
0,3,18
1,4,19
1,4,18
2,5,9
6,11,15
7,11,15
6,10,14
7,11,15
8,12,16
0,13,17
1,4,18
0,14,18
2,5,19
3,6,10
7,11,15
2,9,14
5,8,12
0,13,17
0,14,18
6,9,13
10,14,18
10,13,17
13,16,19
0,3,17
1,4,8
2,5,9
6,10,14
7,11,15
0,12,19
1,4,16
2,14,18
5,8,17
12,13,19
0,14,18
1,4,8
13,16,19
1,4,17
2,5,9
12,15,19
1,8,19
3,6,10
7,11,15
8,12,16
0,14,18
1,4,17
2,5,19
0,14,18
2,5,19
3,6,10
7,11,15
8,12,16
9,13,17
0,14,18
1,4,19
8,13,17
2,5,9
3,6,10
7,11,15
7,11,15
8,12,16
13,14,17
0,3,18
7,11,15
1,4,19
2,5,9
6,10,14
12,13,16
2,5,18
0,3,19
2,5,9
6,10,14
0,3,7
7,11,15
1,8,17
4,8,18
11,12,16
0,13,17
1,4,18
2,5,19
3,6,10
3,6,10
7,10,14
9,11,16
2,5,19
3,6,10
7,11,15
8,12,16
9,13,17
0,14,18
0,3,19
1,4,19
2,5,9
3,6,10
2,9,14
8,12,16
9,13,17
0,14,18
9,13,17
3,6,10
7,11,15
7,11,15
9,13,17
0,14,18
2,5,9
12,13,16
3,6,10
7,11,15
8,12,16
1,4,13
0,14,18
13,16,19
1,4,17
2,5,9
3,6,10
7,11,15
7,11,15
8,12,16
0,14,18
1,4,17
7,11,15
9,13,17
2,5,19
6,9,13
10,14,18
3,6,10
6,9,14
7,10,14
1,4,8
8,11,15
12,13,16
0,3,17
1,4,18
7,11,19
2,5,9
4,7,11
1,4,15
2,5,17
6,9,13
3,6,10
8,11,16
2,5,10
0,3,17
6,9,13
7,11,15
7,10,14
8,11,15
0,12,16
1,4,17
2,5,18
3,6,19
7,11,15
2,5,19
7,10,14
8,11,15
9,12,16
0,13,17
1,4,18
2,5,19
3,6,10
8,12,16
7,11,15
8,12,16
8,12,16
9,13,17
0,14,18
1,4,19
2,5,9
3,6,10
7,11,15
8,12,16
0,14,18
6,12,16
13,14,17
0,3,18
1,4,17
1,4,19
8,11,15
6,10,17
2,8,13
3,6,10
5,8,12
0,14,18
7,11,15
9,13,17
1,4,18
1,4,14
13,16,19
5,8,12
12,15,19
0,3,17
1,4,18
0,5,17
2,6,10
7,11,15
13,16,19
3,6,10
3,6,10
3,6,10
7,11,15
0,3,9
0,3,7
5,8,12
6,9,13
10,14,18
13,16,19
1,5,17
2,8,17
0,3,9
1,4,8
2,5,9
6,10,14
5,11,15
7,12,18
8,12,16
2,5,11
7,12,16
8,15,19
8,12,16
0,3,17
1,4,18
8,15,19
2,5,9
8,12,16
1,4,17
2,5,9
6,10,14
7,11,15
8,12,16
3,6,10
0,13,17
3,6,10
0,13,17
12,13,19
1,4,18
2,5,19
13,14,17
7,11,15
7,11,15
2,5,9
3,6,10
7,11,15
2,5,9
2,5,19
2,5,9
6,10,14
5,8,17
7,11,15
0,12,16
1,4,16
1,5,17
2,6,18
3,7,19
8,11,15
9,12,16
10,13,17
0,14,18
1,4,19
0,14,18
1,4,18
2,8,13
0,3,17
0,3,17
1,4,18
3,6,10
4,7,11
5,8,12
0,14,18
1,4,15
2,5,16
9,13,17
0,3,14
0,15,19
1,4,16
2,5,17
3,6,18
7,10,14
3,6,10
8,11,15
9,12,16
0,13,17
3,6,10
6,9,13
1,4,18
3,6,17
9,12,16
2,5,19
3,6,10
7,11,15
8,12,16
7,11,15
9,13,17
0,14,18
1,4,19
2,5,9
1,4,17
3,6,13
8,15,19
0,3,17
1,4,18
2,5,17
6,9,13
7,11,15
8,11,18
0,14,19
7,10,14
1,4,15
11,15,19
1,12,16
8,12,19
3,6,13
4,7,11
8,12,16
13,15,18
1,4,19
1,4,17
0,3,18
2,5,19
6,10,19
1,4,8
1,4,17
0,3,19
1,4,8
2,5,9
0,14,18
2,5,9
3,6,10
7,11,15
0,14,18
1,4,8
12,13,16
8,12,16
8,12,16
0,14,18
1,4,17
7,11,15
2,5,19
3,6,10
7,11,15
8,12,16
0,15,19
8,11,15
5,8,17
8,12,16
9,13,17
7,11,15
7,11,15
8,12,16
2,5,10
3,6,12
1,4,19
8,14,18
1,4,17
2,5,18
1,4,9
2,5,16
6,9,14
0,3,17
1,4,18
2,5,19
6,9,13
6,10,14
6,10,14
1,4,18
6,10,16
6,9,13
8,12,18
1,4,8
3,6,10
7,11,15
0,12,16
2,5,9
3,8,12
7,11,15
8,13,17
7,10,14
9,14,18
7,11,16
8,12,16
0,15,19
1,4,8
2,5,9
6,10,14
3,6,10
7,11,15
13,16,19
1,12,16
4,9,19
12,13,16
9,12,16
9,13,17
12,13,16
0,14,18
1,4,17
2,5,19
3,6,10
1,4,19
7,11,15
8,11,15
7,11,15
8,12,16
9,13,17
6,10,14
2,6,18
0,14,18
4,7,11
1,4,19
8,11,15
7,11,15
5,8,12
7,11,15
1,4,8
2,5,9
3,6,10
7,11,15
8,12,16
13,14,17
1,4,13
0,3,18
1,4,19
0,12,16
2,5,9
6,10,14
7,12,16
0,4,19
7,11,15
8,12,16
0,13,17
1,4,18
8,12,16
2,5,19
3,6,10
7,11,15
8,12,16
9,13,17
0,14,18
1,4,19
2,5,9
3,6,10
7,11,15
8,12,16
13,14,17
0,3,18
1,4,19
2,5,9
7,10,14
7,12,16
1,4,18
6,10,14
7,11,15
6,10,14
8,12,16
0,13,17
1,4,18
1,4,17
2,5,19
3,9,19
4,7,11
0,3,17
1,4,19
6,10,19
8,11,15
1,4,16
9,12,16
0,13,17
6,12,16
0,3,18
1,6,10
7,11,15
8,12,16
9,13,17
12,15,19
0,14,18
1,4,19
2,5,9
12,13,16
3,6,10
7,11,15
8,12,16
3,6,10
8,13,17
11,14,17
10,14,18
0,3,15
6,9,13
7,10,14
8,11,15
0,12,16
1,4,17
7,13,17
9,12,16
13,14,17
2,5,18
3,6,19
7,10,14
8,11,15
9,12,16
0,13,17
1,4,17
1,4,18
2,5,19
3,6,10
7,11,15
3,13,18
6,9,13
8,12,16
10,14,18
0,15,19
1,4,17
2,5,9
3,6,10
2,5,9
2,7,11
5,9,14
7,10,15
8,12,19
2,5,9
7,11,18
0,14,18
3,7,15
0,3,11
0,12,17
13,15,18
4,7,11
1,4,13
2,13,17
5,9,19
11,15,19
0,13,17
1,4,16
2,6,10
9,11,15
0,3,18
5,8,12
6,9,13
7,15,19
2,5,10
7,11,19
0,14,18
3,6,17
4,7,11
