5,10,11,12
6,13,14,15
7,12,16,17
8,13,14,15
5,10,11,16
9,14,15,17
6,11,12,13
5,10,16,17
7,12,13,14
8,15,16,17
5,10,11,12
9,14,15,16
6,11,13,17
7,12,16,17
7,12,13,14
8,15,16,17
6,11,13,14
5,10,11,15
9,14,15,17
9,14,15,16
6,12,13,17
6,11,13,14
5,10,11,12
7,13,14,15
8,13,16,17
9,14,15,16
8,15,16,17
5,10,11,12
6,11,12,17
7,13,14,15
5,10,16,17
8,13,14,15
6,11,12,16
9,14,15,17
5,10,11,12
7,13,16,17
8,13,14,15
5,10,11,12
9,14,16,17
6,11,12,13
7,15,16,17
5,10,11,12
5,10,11,12
8,13,14,15
8,13,14,15
9,14,16,17
5,10,11,12
6,13,15,16
7,12,13,17
8,14,15,16
5,10,11,17
9,14,15,16
6,11,12,13
5,10,11,17
7,12,13,14
8,15,16,17
9,14,15,16
5,10,11,12
8,13,14,15
6,11,16,17
6,11,13,14
7,12,13,14
8,15,16,17
5,10,11,12
9,14,15,16
5,10,13,17
5,10,11,12
6,11,12,13
7,14,15,16
9,14,15,16
8,13,14,17
9,15,16,17
5,10,11,12
6,11,12,13
7,13,14,15
7,14,15,16
5,10,11,17
8,13,14,15
6,12,16,17
9,14,15,16
5,10,11,12
8,13,14,15
7,12,13,17
9,14,15,17
8,13,14,15
5,10,11,16
9,14,15,17
6,11,12,13
5,10,16,17
6,12,13,17
7,12,13,14
8,15,16,17
8,13,16,17
5,10,11,12
9,14,15,16
6,11,13,17
7,12,13,14
8,15,16,17
