0,3,7
1,4,8
5,9,10,18
6,11,12,14
13,15,16,17
2,7,19
8,11,13,16,19
4,6,15,17
5,10,12,14,17
6,10,11,15,18
7,12,13,14,19
9,12,15,16,17
6,11,14,18,19
1,4,8
7,10,13,15,18
8,12,14,16,17
0,3,9
6,10,11,15,18
5,10,11,16,19
6,10,11,15,18
4,9,13,18
0,3,9
4,9,15,17
0,3,9
4,9,13,15
9,13,15,17,18
4,6,16,19
4,7,11,14
8,11,13,16,19
8,12,14,17,19
4,6,10,16
5,10,11,13,18
7,11,12,15,16
6,13,14,15,19
5,10,13,17,18
4,9,12,16
4,9,16,19
9,11,14,15,16
4,8,12,17
7,12,15,17,19
8,11,13,16,18
4,6,10,17
4,8,16,19
8,11,13,16,19
4,6,10,12
9,10,12,14,17
0,3,7
0,3,8
4,8,11,13
4,6,11,18
0,3,8
5,11,13,16,19
0,3,9
0,3,9
0,3,9
4,8,16,18
0,3,7
0,3,7
4,7,15,16
7,11,12,15,16
0,3,9
4,6,10,16
4,9,10,16
5,10,11,12,16
4,6,17,19
4,9,17,19
4,6,17,19
9,12,14,17,19
6,10,11,15,18
0,3,7
8,12,14,17,19
4,7,18,19
4,7,16,18
7,10,13,15,18
9,12,14,17,19
0,3,9
0,3,8
4,8,11,16
0,3,8
8,11,13,16,18
0,3,9
4,7,18,19
0,3,7
4,9,10,18
4,8,10,18
8,12,14,16,17
0,3,8
4,8,10,16
5,8,10,16
8,12,14,16,17
4,7,10,18
5,8,10,18
5,10,11,16,19
0,3,7
4,9,15,18
4,7,12,18
4,8,13,15
9,12,13,14,18
4,7,15,17
5,10,11,15,17
8,12,14,16,19
4,7,10,18
4,7,13,18
0,3,7
4,7,10,18
0,3,7
5,10,13,17,18
4,7,11,13
4,7,15,17
6,10,11,15,17
7,13,14,16,19
0,3,8
8,10,13,15,18
4,9,11,19
5,10,11,16,19
4,8,12,19
9,12,14,16,19
0,3,8
0,3,8
5,11,12,17,19
8,11,14,16,18
4,8,12,17
0,3,8
0,3,8
4,8,12,17
4,8,12,16
8,12,14,16,17
0,3,7
0,3,7
0,3,7
0,3,9
5,10,13,16,18
4,6,15,19
4,6,11,19
0,3,7
4,6,13,19
0,3,7
4,6,11,15
0,3,7
5,10,11,15,17
4,9,13,19
0,3,7
4,6,15,19
0,3,7
4,9,12,19
7,11,13,16,19
9,10,12,15,17
5,11,14,18,19
4,6,13,16
4,6,15,17
0,3,8
4,8,13,16
0,3,8
5,10,13,16,18
4,6,12,16
6,10,13,15,16
0,3,7
5,10,13,16,18
0,3,7
0,3,7
0,3,7
0,3,7
0,3,7
5,10,13,17,18
6,11,14,18,19
4,7,12,17
0,3,8
8,10,12,15,17
7,13,14,16,19
4,7,12,18
4,9,10,18
4,7,17,18
4,8,11,18
0,3,8
4,8,11,16
0,3,9
1,4,8
4,9,11,16
5,11,14,16,18
8,10,12,15,17
0,3,9
9,11,14,16,19
0,3,7
4,8,12,18
4,7,13,18
5,10,13,15,18
6,11,12,14,17
4,8,16,19
0,3,7
7,11,12,16,19
8,10,13,15,18
9,10,12,15,17
0,3,9
4,9,14,17
5,10,11,16,19
9,12,14,16,17
4,6,18,19
0,3,7
0,3,8
5,10,13,18,19
4,7,11,15
7,11,12,15,16
4,6,15,17
4,6,11,15
4,8,11,17
9,11,15,16,17
0,3,7
7,10,13,14,18
4,8,12,19
4,6,16,19
0,3,8
4,6,16,19
6,11,13,16,19
4,9,12,19
0,3,9
9,12,15,17,19
4,6,10,15
0,3,8
0,3,8
0,3,8
6,10,11,15,17
4,8,10,17
8,10,12,15,16
5,10,13,16,18
4,7,14,17
0,3,7
7,10,12,14,17
6,11,13,16,19
0,3,8
4,9,14,17
4,9,14,17
4,9,14,17
0,3,9
5,11,12,14,17
9,12,15,17,18
4,6,11,19
5,11,14,17,19
6,11,12,16,19
4,8,15,18
0,3,8
5,11,14,17,19
0,3,8
6,11,12,13,16
5,10,11,15,18
4,8,17,19
0,3,8
4,7,14,18
4,6,14,18
0,3,7
0,3,7
6,11,13,14,19
0,3,7
0,3,7
0,3,7
4,7,14,18
4,7,14,18
9,10,13,14,18
7,12,14,17,19
1,4,8
8,13,15,16,18
6,11,14,17,19
5,10,12,15,18
4,9,16,19
0,3,7
0,3,9
0,3,7
9,11,13,16,17
1,4,8
4,7,10,18
0,3,7
4,7,12,19
7,10,12,15,19
4,8,14,18
4,8,14,18
8,11,14,16,18
6,12,13,17,19
5,10,14,15,16
4,9,11,18
9,13,15,17,18
4,6,11,19
4,6,11,19
6,11,13,14,16
0,3,7
4,7,11,19
0,3,8
7,10,12,13,18
4,8,11,19

0,3,8
4,6,11,19
4,8,14,19

0,3,8
0,3,8
0,3,8
6,11,12,16,19
8,11,12,14,17
4,8,11,19
0,3,8
0,3,8
5,10,11,15,16
4,6,17,19
4,6,14,19

4,8,18,19
0,3,7
0,3,7
4,7,14,19
0,3,9
4,9,14,17
4,7,14,17
0,3,7
5,12,14,17,19
0,3,9
0,3,7
0,3,9
0,3,9
4,9,13,18
